,Index,Company Name,Symbol,Sector,Industry
1204,1992,Hyduke Energy Serv,HYD,Energy,Oil & Gas - Services
1205,1994,IA Claring Core Fnd,ICPB,,
1206,1996,IA Claring Emerg Fnd,IEMB,,
1207,1998,IA Claring Glbl Fnd,IGLB,,
1208,2000,iA Financial Corp.,IAG,Financial Services,Insurance
1209,2002,Iamgold Corporation,IMG,Basic Materials,Metals & Mining
1210,2004,IBI Group Inc.,IBG,Industrials,Engineering & Construction
1211,2005,IBI GROUP 5.5% Deb,IBG.DB.D,nan,nan
1212,2007,iFabric Corp. J,IFA,Consumer Cyclical,Manufacturing - Apparel & Furniture
1213,2009,IGM Financial Inc.,IGM,Financial Services,Asset Management
1214,2011,Imperial Metals Corp,III,Basic Materials,Metals & Mining
1215,2013,Imperial Oil Ltd.,IMO,Energy,Oil & Gas - Integrated
1216,2015,IMV Inc. J,IMV,Healthcare,Biotechnology
1217,2017,Income Fin Tr Un,INC.UN,Financial Services,Asset Management
1218,2019,Indigo Books & Music,IDG,Consumer Cyclical,Retail - Apparel & Specialty
1219,2021,Indstrl AlliancePr B,IAF.PR.B,Financial Services,Insurance
1220,2022,Indstrl AlliancePr G,IAF.PR.G,Financial Services,Insurance
1221,2023,Indstrl AlliancePr I,IAF.PR.I,Financial Services,Insurance
1222,2025,Info Serv Corp. A LV,ISV,Industrials,Business Services
1223,2027,InMed Pharmaceutcl J,IN,Healthcare,Drug Manufacturers
1224,2028,InMed Pharmaceu J Wt,IN.WT,nan,nan
1225,2030,Innergex Renew Engy,INE,Utilities,Utilities - Independent Power Producers
1226,2031,Innergex Renew4.25Db,INE.DB.A,Utilities,Utilities - Independent Power Producers
1227,2032,Innergex Renew4.75Db,INE.DB.B,nan,nan
1228,2033,Innergex Renew Pr A,INE.PR.A,Utilities,Utilities - Independent Power Producers
1229,2034,Innergex Renew Pr C,INE.PR.C,Utilities,Utilities - Independent Power Producers
1230,2036,Inovalis REIT Un,INO.UN,Real Estate,REITs
1231,2038,InPlay Oil Corp. J,IPO,Energy,Oil & Gas - E&P
1232,2040,INSCAPE Corp Cl B SV,INQ,Industrials,Industrial Products
1233,2042,Intact Fin Corp.,IFC,Financial Services,Insurance - Property & Casualty
1234,2043,Intact Fin A Ser 1,IFC.PR.A,Financial Services,Insurance - Property & Casualty
1235,2044,Intact Fin A Ser 3,IFC.PR.C,Financial Services,Insurance - Property & Casualty
1236,2045,Intact Fin A Ser 4,IFC.PR.D,Financial Services,Insurance - Property & Casualty
1237,2046,Intact Fin A Ser 5,IFC.PR.E,Financial Services,Insurance - Property & Casualty
1238,2047,Intact Fin A Sr 6 Pr,IFC.PR.F,Financial Services,Insurance - Property & Casualty
1239,2048,Intact Fin A Sr 7 Pr,IFC.PR.G,Financial Services,Insurance - Property & Casualty
1240,2050,Integrated Asset Mgt,IAM,Financial Services,Asset Management
1241,2052,IntelliPharma Intl J,IPCI,Healthcare,Biotechnology
1242,2054,Inter Pipeline Ltd.,IPL,Energy,Oil & Gas - Midstream
