Index,Company,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
200,Black Mammoth Metals Corporation,BMM,,,,,,,
201,Blackheath Resources Inc.,BHR,,,,,,,
202,Blackline Safety Corp.,BLN,,,,,,,
203,Blackrock Gold Corp.,BRC,,,,,,,
204,Blacksteel Energy Inc.,BEY,,,,,,,
205,Blind Creek Resources Ltd.,BCK,,,,,,,
206,Blockchaink2 Corp.,BITK,,,,,,,
207,Blockmint Technologies Inc.,BKMT,,,,,,,
208,Blue Moon Zinc Corp.,MOON,,,,,,,
209,Blue River Resources Ltd.,BXR,,,,,,,
210,Blue Sky Uranium Corp.,BSK,,,,,,,
211,Blue Star Gold Corp.,BAU,,,,,,,
212,Blue Thunder Mining Inc.,BLUE,,,,,,,
213,Bluebird Battery Metals Inc.,BATT,,,,,,,
214,Bluerush Inc.,BTV,,,,,,,
215,Bluestone Resources Inc.,BSR,,,,,,,
216,Bluewater Acquisition Corp.,BAQ.P,,,,,,,
217,BluMetric Environmental Inc.,BLM,,,,,,,
218,BMGB Capital Corp.,BMGB.P,,,,,,,
219,Boardwalktech Software Corp.,BWLK,,,,,,,
220,Bold Capital Enterprises Ltd.,BOLD.P,,,,,,,
221,Bold Ventures Inc.,BOL,,,,,,,
222,Bonterra Resources Inc.,BTR,,,,,,,
223,Boreal Metals Corp.,BMX,,,,,,,
224,Boundary Gold and Copper Mining Ltd.,BDGC,,,,,,,
225,BPLI Holdings Inc.,BPLI,,,,,,,
226,BQE Water Inc.,BQE,,,,,,,
227,Brachium Capital Corp.,BRAC.P,,,,,,,
228,Bragg Gaming Group Inc.,BRAG,,,,,,,
229,Braille Energy Systems Inc.,BES,,,,,,,
230,Brattle Street Investment Corp.,BRTL,,,,,,,
231,Bravada Gold Corporation,BVA,,,,,,,
232,Braveheart Resources Inc.,BHT,,,,,,,
233,BriaCell Therapeutics Corp.,BCT,,,,,,,
234,Brixton Metals Corporation,BBB,,,,,,,
235,Brockton Ventures Inc.,BROC.P,,,,,,,
236,Brookfield Investments Corporation pref sr A,BRN.PR.A,,,,,,,
237,Brunswick Resources Inc.,BRU,,,,,,,
238,BTU Metals Corp.,BTU,,,,,,,
239,Buckhaven Capital Corp.,BKH.P,,,,,,,
240,Buffalo Coal Corp.,BUF,,,,,,,
241,Builders Capital Mortgage Corp.,BCF,,,,,,,
242,BuzBuz Capital Corp.,BZBZ.P,,,,,,,
243,Buzz Capital 2 Inc.,BUZH.P,,,,,,,
244,BWR Exploration Inc.,BWR,,,,,,,
245,Cabral Gold Inc.,CBR,,,,,,,
246,Cache Exploration Inc,CAY,,,,,,,
247,Cadillac Ventures Inc.,CDC,,,,,,,
248,Caldas Gold Corp.,CGC,,,,,,,
249,California Nanotechnologies Corp,CNO,,,,,,,
250,Callinex Mines Inc.,CNX,,,,,,,
251,Calyx Ventures Inc.,CYX,,,,,,,
252,Cameo Industries Corp.,CRU,,,,,,,
253,Camino Minerals Corporation,COR,,,,,,,
254,Camrova Resources Inc.,CAV,,,,,,,
255,Canada Carbon Inc.,CCB,,,,,,,
256,Canada Jetlines Ltd.,JET,,,,,,,
257,Canada Nickel Company Inc.,CNC,,,,,,,
258,Canada One Mining Corp.,CONE,,,,,,,
259,Canada Rare Earth Corp.,LL,,,,,,,
260,Canada Silver Cobalt Works Inc.,CCW,,,,,,,
261,Canadabis Capital Inc.,CANB,,,,,,,
262,Canadian Oil Recovery & Remediation Enterprises Ltd.,CVR,,,,,,,
263,Canadian Premium Sand Inc.,CPS,,,,,,,
264,Canadian Spirit Resources Inc.,SPI,,,,,,,
265,Canaf Investments Inc.,CAF,,,,,,,
266,Canalaska Uranium Ltd.,CVV,,,,,,,
267,Canasil Resources Inc.,CLZ,,,,,,,
268,Candelaria Mining Corp.,CAND,,,,,,,
269,Candente Gold Corp.,CDG,,,,,,,
270,Canex Metals Inc.,CANX,,,,,,,
271,Canickel Mining Limited,CML,,,,,,,
272,Canna 8 Investment Trust,RCR.P,,,,,,,
273,Cann-is Capital Corp.,NIS.P,,,,,,,
274,Canoe Mining Ventures Corp.,CLV,,,,,,,
275,CANSO SELECT OPPORTUNITIES CORP A,CSOC.A,,,,,,,
276,CANSO SELECT OPPORTUNITIES CORP B,CSOC.B,,,,,,,
277,Canstar Resources Inc.,ROX,,,,,,,
278,Canterra Minerals Corporation,CTM,,,,,,,
279,Cantex Mine Development Corp.,CD,,,,,,,
280,Canuc Resources Corporation,CDA,,,,,,,
281,Canyon Creek Food Company Ltd.,CYF,,,,,,,
282,Cardero Resource Corp.,CDU,,,,,,,
283,"CardioComm Solutions, Inc.",EKG,,,,,,,
284,Cariboo Rose Resources Ltd,CRB,,,,,,,
285,Carlin Gold Corporation,CGD,,,,,,,
286,Cartier Resources Inc,ECR,,,,,,,
287,Carube Copper Corp.,CUC,,,,,,,
288,CASA Minerals Inc.,CASA,,,,,,,
289,Cascadero Copper Corporation,CCD,,,,,,,
290,Cassowary Capital Corporation Limited,BIRD.P,,,,,,,
291,Castle Peak Mining Ltd.,CAP,,,,,,,
292,Castlebar Capital Corp.,CBAR.P,,,,,,,
293,Castlecap Capital Inc.,CSTL.P,,,,,,,
294,CBLT Inc.,CBLT,,,,,,,
295,C-Com Satellite Systems Inc.,CMI,,,,,,,
296,CE Brands Inc.,CEBI.P,,,,,,,
297,Ceapro Inc.,CZO,,,,,,,
298,Cematrix Corporation,CVX,,,,,,,
299,Centaurus Energy Inc.,CTA,,,,,,,
300,Central Iron Ore Limited,CIO,,,,,,,
301,Central Timmins Exploration Corp.,CTEC,,,,,,,
302,Centurion Minerals Ltd.,CTN,,,,,,,
303,Century Metals Inc.,CMET,,,,,,,
304,Ceylon Graphite Corp.,CYL,,,,,,,
305,CF Energy Corp.,CFY,,,,,,,
306,CGX Energy Inc.,OYL,,,,,,,
307,Chakana Copper Corp.,PERU,,,,,,,
308,Champion Bear Resources Ltd.,CBA,,,,,,,
309,Char Technologies Ltd.,YES,,,,,,,
310,Chatham Rock Phosphate Limited,NZP,,,,,,,
311,Cherry Street Capital Inc.,CHSC.P,,,,,,,
312,Chesapeake Gold Corp.,CKG,,,,,,,
313,Chibougamau Independent Mines Inc.,CBG,,,,,,,
314,Chilean Metals Inc.,CMX,,,,,,,
315,China Education Resources Inc.,CHN,,,,,,,
316,Cinaport Acquisition Corp. III,CAC.P,,,,,,,
317,Circa Enterprises Inc,CTO,,,,,,,
318,Claren Energy Corp.,CEN,,,,,,,
319,Clarmin Explorations Inc.,CX,,,,,,,
320,Clean Air Metals Inc.,AIR,,,,,,,
321,Clean Seed Capital Group Ltd.,CSX,,,,,,,
322,Clear Blue Technologies International Inc.,CBLU,,,,,,,
323,Clearford Water Systems Inc.,CLI,,,,,,,
324,Cleghorn Minerals Ltd,CZZ,,,,,,,
325,Cliffside Capital Ltd.,CEP,,,,,,,
326,CMC Metals Ltd.,CMB,,,,,,,
327,CO2 GRO Inc.,GROW,,,,,,,
328,Cobalt Blockchain Inc.,COBC,,,,,,,
329,Cobra Venture Corporation,CBV,,,,,,,
330,Coin Hodl Inc.,COIN,,,,,,,
331,Colibri Resource Corporation,CBI,,,,,,,
332,Colonial Coal International Corp,CAD,,,,,,,
333,Colorado Resources Ltd,CXO,,,,,,,
334,Comet Industries Ltd.,CMU,,,,,,,
335,Commander Resources Ltd.,CMD,,,,,,,
336,Commerce Resources Corp.,CCE,,,,,,,
337,Compass Gold Corporation,CVB,,,,,,,
338,Composite Alliance Group Inc.,CAG,,,,,,,
339,Comstock Metals Ltd.,CSL,,,,,,,
340,Condor Resources Inc,CN,,,,,,,
341,Confederation Minerals Ltd.,CFM,,,,,,,
342,Conic Metals Corp.,NKL,,,,,,,
343,Connaught Ventures Inc.,CNV.P,,,,,,,
344,Conquest Resources Limited,CQR,,,,,,,
345,Cons Firstfund Capital Corp.,FFP,,,,,,,
346,Conscience Capital Inc.,DGTL.P,,,,,,,
347,Consolidated Woodjam Copper Corp.,WCC,,,,,,,
348,Constantine Metal Resources Ltd.,CEM,,,,,,,
349,Contact Gold Corp.,C,,,,,,,
350,Contagious Gaming Inc.,CNS,,,,,,,
351,Converge Technology Solutions Corp.,CTS,,,,,,,
352,Copper Fox Metals Inc.,CUU,,,,,,,
353,Copper Lake Resources Ltd.,CPL,,,,,,,
354,Copper North Mining Corp.,COL,,,,,,,
355,Coral Gold Resources Ltd,CLH,,,,,,,
356,Cordoba Minerals Corp.,CDB,,,,,,,
357,Cordoba Minerals Corp. RT exp 25Jun2020,CDB.RT,,,,,,,
358,Cordy Oilfield Services Inc.,CKK,,,,,,,
359,Cornerstone Capital Resources Inc.,CGP,,,,,,,
360,Corsa Coal Corp.,CSO,,,,,,,
361,Cortus Metals Inc.,CRTS.P,,,,,,,
362,Cotinga Pharmaceuticals Inc,COT,,,,,,,
363,Covalon Technologies Ltd.,COV,,,,,,,
364,CR Capital Corp.,CIT,,,,,,,
365,Cresval Capital Corp.,CRV,,,,,,,
366,Critical Elements Lithium Corporation,CRE,,,,,,,
367,CROPS Inc.,COPS,,,,,,,
368,Crown Mining Corp.,CWM,,,,,,,
369,Crown Point Energy Inc.,CWV,,,,,,,
370,Cruzsur Energy Corp.,CZR,,,,,,,
371,Cruzsur Energy Corp. Wts 2022/07/31,CZR.WT,,,,,,,
372,Cryptostar Corp.,CSTR,,,,,,,
373,Crystal Bridge Enterprises Inc.,CRYS.P,,,,,,,
374,Crystal Lake Mining Corp.,CLM,,,,,,,
375,Crystal Peak Minerals Inc.,CPM,,,,,,,
376,Cub Energy Inc.,KUB,,,,,,,
377,Cubicfarm Systems Corp.,CUB,,,,,,,
378,Cuda Oil and Gas Inc.,CUDA,,,,,,,
379,CurrencyWorks Inc.,CWRK,,,,,,,
380,Current Water Technologies Inc.,WATR,,,,,,,
381,Currie Rose Resources Inc.,CUI,,,,,,,
382,Cuspis Capital Ltd.,CUSP.P,,,,,,,
383,CWC Energy Services Corp.,CWC,,,,,,,
384,Cymat Technologies Ltd.,CYM,,,,,,,
385,Cypress Development Corp.,CYP,,,,,,,
386,Dajin Lithium Corp.,DJI,,,,,,,
387,Damara Gold Corp.,DMR,,,,,,,
388,Darelle Online Solutions Inc.,DAR,,,,,,,
389,Datable Technology Corporation,DAC,,,,,,,
390,Datametrex AI Limited,DM,,,,,,,
391,Daura Capital Corp.,DUR.P,,,,,,,
392,DC Acquisition Corp.,DCA.P,,,,,,,
393,DealNet Capital Corp.,DLS,,,,,,,
394,Decade Resources Ltd,DEC,,,,,,,
395,Decibel Cannabis Company Inc.,DB,,,,,,,
396,Decibel Cannabis Company Inc. db 10May2022,DB.DB,,,,,,,
397,Decibel Cannabis Company Inc. wt 15may2022,DB.WT,,,,,,,
398,Decisive Dividend Corporation,DE,,,,,,,
399,DeepMarkit Corp.,MKT,,,,,,,
400,Deep-South Resources Inc.,DSM,,,,,,,
401,Defense Metals Corp.,DEFN,,,,,,,
402,Defiance Silver Corp.,DEF,,,,,,,
