Index,Company Name,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
186,Bell Copper Corporation,BCU,,,,,,,
187,Belmont Resources Inc.,BEA,,,,,,,
188,Bemetals Corp.,BMET,,,,,,,
189,Benchmark Metals Inc.,BNCH,,,,,,,
190,Benton Resources Inc.,BEX,,,,,,,
191,Benz Mining Corp.,BZ,,,,,,,
192,Berkwood Resources Ltd.,BKR,,,,,,,
193,Bessor Minerals Inc.,BST,,,,,,,
194,Betteru Education Corp.,BTRU,,,,,,,
195,BeWhere Holdings Inc.,BEW,,,,,,,
196,Big Dougie Capital Corp.,STUV.P,,,,,,,
197,Bioasis Technologies Inc.,BTI,,,,,,,
198,BioNeutra Global Corporation,BGA,,,,,,,
199,Biorem Inc.,BRM,,,,,,,
200,BioSyent Inc.,RX,,,,,,,
201,Bitterroot Resources Ltd.,BTT,,,,,,,
202,Black Mammoth Metals Corporation,BMM,,,,,,,
203,Blackheath Resources Inc.,BHR,,,,,,,
204,Blackline Safety Corp.,BLN,,,,,,,
205,Blackrock Gold Corp.,BRC,,,,,,,
206,Blacksteel Energy Inc.,BEY,,,,,,,
207,Blind Creek Resources Ltd.,BCK,,,,,,,
208,Block One Capital Inc.,BLOK,,,,,,,
209,Blockchain Power Trust,BPWR.UN,,,,,,,
210,Blockchain Power Trust wt 08Jan2020,BPWR.WT,,,,,,,
211,Blockchaink2 Corp.,BITK,,,,,,,
212,Blockmint Technologies Inc.,BKMT,,,,,,,
213,Blue Moon Zinc Corp.,MOON,,,,,,,
214,Blue River Resources Ltd.,BXR,,,,,,,
215,Blue Sky Energy Inc.,BSI,,,,,,,
216,Blue Sky Uranium Corp.,BSK,,,,,,,
217,Blue Star Gold Corp.,BAU,,,,,,,
218,Bluebird Battery Metals Inc.,BATT,,,,,,,
219,Bluedrop Performance Learning Inc.,BPLI,,,,,,,
220,Bluerush Inc.,BTV,,,,,,,
221,Bluestone Resources Inc.,BSR,,,,,,,
222,Bluewater Acquisition Corp.,BAQ.P,,,,,,,
223,BluMetric Environmental Inc.,BLM,,,,,,,
224,BMGB Capital Corp.,BMGB.P,,,,,,,
225,Boardwalktech Software Corp.,BWLK,,,,,,,
226,Bold Capital Enterprises Ltd.,BOLD.P,,,,,,,
227,Bold Ventures Inc,BOL,,,,,,,
228,Bonterra Resources Inc.,BTR,,,,,,,
229,Boreal Metals Corp.,BMX,,,,,,,
230,Boreal Metals Corp. wt 21Nov2019,BMX.WT,,,,,,,
231,BQE Water Inc.,BQE,,,,,,,
232,Bragg Gaming Group Inc.,BRAG,,,,,,,
233,Braille Energy Systems Inc.,BES,,,,,,,
234,Bravada Gold Corporation,BVA,,,,,,,
235,Braveheart Resources Inc.,BHT,,,,,,,
236,BriaCell Therapeutics Corp.,BCT,,,,,,,
237,Brixton Metals Corporation,BBB,,,,,,,
238,Broadway Gold Mining Ltd.,BRD,,,,,,,
239,Brockton Ventures Inc.,BROC.P,,,,,,,
240,Brookfield Investments Corporation pref sr A,BRN.PR.A,,,,,,,
241,Brunswick Resources Inc.,BRU,,,,,,,
242,BTU Metals Corp.,BTU,,,,,,,
243,Buckhaven Capital Corp.,BKH.P,,,,,,,
244,Buffalo Coal Corp.,BUF,,,,,,,
245,Builders Capital Mortgage Corp.,BCF,,,,,,,
246,BuzBuz Capital Corp.,BZBZ.P,,,,,,,
247,Buzz Capital 2 Inc.,BUZH.P,,,,,,,
248,Buzz Capital Inc.,BUZ.P,,,,,,,
249,BWR Exploration Inc.,BWR,,,,,,,
250,C-Com Satellite Systems Inc.,CMI,,,,,,,
251,Cabral Gold Inc.,CBR,,,,,,,
252,Cache Exploration Inc,CAY,,,,,,,
253,Cadillac Ventures Inc.,CDC,,,,,,,
254,Calibre Mining Corp.,CXB,,,,,,,
255,Califfi Capital Corp.,CFI.P,,,,,,,
256,California Nanotechnologies Corp,CNO,,,,,,,
257,Callinex Mines Inc.,CNX,,,,,,,
258,Cameo Industries Corp.,CRU,,,,,,,
259,Camino Minerals Corporation,COR,,,,,,,
260,Camrova Resources Inc.,CAV,,,,,,,
261,Canada Carbon Inc.,CCB,,,,,,,
262,Canada Cobalt Works Inc.,CCW,,,,,,,
263,Canada Energy Partners Inc,CE,,,,,,,
264,Canada Jetlines Ltd.,JET,,,,,,,
265,Canada Jetlines Ltd. wt 16Sept2019,JET.WT,,,,,,,
266,Canada One Mining Corp.,CONE,,,,,,,
267,Canada Rare Earth Corp.,LL,,,,,,,
268,Canadabis Capital Inc.,CANB,,,,,,,
269,Canadian Energy Materials Corp.,CHEM,,,,,,,
270,Canadian Oil Recovery & Remediation Enterprises Ltd.,CVR,,,,,,,
271,Canadian Orebodies Inc.,CORE,,,,,,,
272,Canadian Premium Sand Inc.,CPS,,,,,,,
273,Canadian Spirit Resources Inc.,SPI,,,,,,,
274,Canaf Investments Inc.,CAF,,,,,,,
275,Canalaska Uranium Ltd.,CVV,,,,,,,
276,Canasil Resources Inc.,CLZ,,,,,,,
277,Candelaria Mining Corp.,CAND,,,,,,,
278,Candente Gold Corp.,CDG,,,,,,,
279,Canex Metals Inc.,CANX,,,,,,,
280,Canickel Mining Limited,CML,,,,,,,
281,Cann-is Capital Corp.,NIS.P,,,,,,,
282,Canna 8 Investment Trust,RCR.P,,,,,,,
283,Canoe Mining Ventures Corp.,CLV,,,,,,,
284,Canopy Rivers Inc.,RIV,,,,,,,
285,CANSO SELECT OPPORTUNITIES CORP A,CSOC.A,,,,,,,
286,CANSO SELECT OPPORTUNITIES CORP B,CSOC.B,,,,,,,
287,Canstar Resources Inc.,ROX,,,,,,,
288,Canterra Minerals Corporation,CTM,,,,,,,
289,Cantex Mine Development Corp.,CD,,,,,,,
290,Canuc Resources Corporation,CDA,,,,,,,
291,Canyon Creek Food Company Ltd.,CYF,,,,,,,
292,Cardero Resource Corp.,CDU,,,,,,,
293,"CardioComm Solutions, Inc.",EKG,,,,,,,
294,Cariboo Rose Resources Ltd,CRB,,,,,,,
295,Carlin Gold Corporation,CGD,,,,,,,
296,Cartier Resources Inc,ECR,,,,,,,
297,Carube Copper Corp.,CUC,,,,,,,
298,CASA Minerals Inc.,CASA,,,,,,,
299,Cascadero Copper Corporation,CCD,,,,,,,
300,Cassowary Capital Corporation Limited,BIRD.P,,,,,,,
301,Castle Peak Mining Ltd.,CAP,,,,,,,
302,Castlebar Capital Corp.,CBAR.P,,,,,,,
303,Castlecap Capital Inc.,CSTL.P,,,,,,,
304,CBLT Inc.,CBLT,,,,,,,
305,CE Brands Inc.,CEBI.P,,,,,,,
306,Ceapro Inc.,CZO,,,,,,,
307,Cematrix Corporation,CVX,,,,,,,
308,Central Iron Ore Limited,CIO,,,,,,,
309,Central Timmins Exploration Corp.,CTEC,,,,,,,
310,Centurion Minerals Ltd.,CTN,,,,,,,
311,Century Metals Inc.,CMET,,,,,,,
312,Cerus Energy Group Ltd.,CEA,,,,,,,
313,Ceylon Graphite Corp.,CYL,,,,,,,
314,CF Energy Corp.,CFY,,,,,,,
315,CGX Energy Inc.,OYL,,,,,,,
316,Chainode Opportunities Corp.,CXD.P,,,,,,,
317,Chakana Copper Corp.,PERU,,,,,,,
318,Champion Bear Resources Ltd.,CBA,,,,,,,
319,Char Technologies Ltd.,YES,,,,,,,
320,Chatham Rock Phosphate Limited,NZP,,,,,,,
321,CHC Student Housing Corp.,CHC,,,,,,,
322,Cherry Street Capital Inc.,CHSC.P,,,,,,,
323,Chesapeake Gold Corp.,CKG,,,,,,,
324,Chibougamau Independent Mines Inc.,CBG,,,,,,,
325,Chilean Metals Inc.,CMX,,,,,,,
326,China Education Resources Inc.,CHN,,,,,,,
327,Chinook Tyee Industry Limited,XCX,,,,,,,
328,Cicada Ventures Ltd.,CID,,,,,,,
329,Cinaport Acquisition Corp. III,CAC.P,,,,,,,
330,Circa Enterprises Inc,CTO,,,,,,,
331,Claren Energy Corp.,CEN,,,,,,,
332,Clarmin Explorations Inc.,CX,,,,,,,
333,Clean Commodities Corp.,CLE,,,,,,,
334,Clean Seed Capital Group Ltd.,CSX,,,,,,,
335,Clear Blue Technologies International Inc.,CBLU,,,,,,,
336,Clearford Water Systems Inc.,CLI,,,,,,,
337,Cleghorn Minerals Ltd,CZZ,,,,,,,
338,Cliffside Capital Ltd.,CEP,,,,,,,
339,CMC Metals Ltd.,CMB,,,,,,,
340,CO2 GRO Inc.,GROW,,,,,,,
341,CO2 Solutions Inc.,CST,,,,,,,
342,Cobalt 27 Capital Corp.,KBLT,,,,,,,
343,Cobalt Blockchain Inc.,COBC,,,,,,,
344,Cobra Venture Corporation,CBV,,,,,,,
345,Coin Hodl Inc.,COIN,,,,,,,
346,Colibri Resource Corporation,CBI,,,,,,,
347,Collingwood Resources Corp.,COLL.P,,,,,,,
348,Colonial Coal International Corp,CAD,,,,,,,
349,Colorado Resources Ltd,CXO,,,,,,,
350,Colson Capital Corp.,COLS.P,,,,,,,
351,Comet Industries Ltd.,CMU,,,,,,,
352,Commander Resources Ltd.,CMD,,,,,,,
353,Commerce Resources Corp.,CCE,,,,,,,
354,Compass Gold Corporation,CVB,,,,,,,
355,Composite Alliance Group Inc.,CAG,,,,,,,
356,Comstock Metals Ltd,CSL,,,,,,,
357,Condor Resources Inc,CN,,,,,,,
358,Confederation Minerals Ltd.,CFM,,,,,,,
359,Connaught Ventures Inc.,CNV.P,,,,,,,
360,Conquest Resources Limited,CQR,,,,,,,
361,Cons Firstfund Capital Corp.,FFP,,,,,,,
362,Consolidated Woodjam Copper Corp.,WCC,,,,,,,
363,Constantine Metal Resources Ltd.,CEM,,,,,,,
364,Contact Gold Corp.,C,,,,,,,
365,Contagious Gaming Inc.,CNS,,,,,,,
366,Converge Technology Solutions Corp.,CTS,,,,,,,
367,Copper Fox Metals Inc.,CUU,,,,,,,
368,Copper Lake Resources Ltd.,CPL,,,,,,,
369,Copper North Mining Corp.,COL,,,,,,,
370,Copper One Inc.,CUO,,,,,,,
371,Coral Gold Resources Ltd,CLH,,,,,,,
372,Cordoba Minerals Corp.,CDB,,,,,,,
373,Cordoba Minerals Corp WT 11JUL2019,CDB.WT,,,,,,,
374,Cordy Oilfield Services Inc.,CKK,,,,,,,
